RPM,DOC_um,Fz_Mean,Fz_Std,Fz_Peak2Peak,Peak_FFT_Amp,Label
114.0,1000.0,-0.35788459993491417,1.0751439220149521,5.837363031506538,425.087080746752,1
114.0,1000.0,-0.3027792918641353,1.0557321277627167,5.837363031506538,421.31279361602657,1
114.0,1000.0,-0.31228019907721316,1.0377256948585458,5.837363031506538,409.30171323303955,1
114.0,1000.0,-0.3426831276679877,1.070256487025119,5.837363031506538,440.432201389765,1
114.0,1000.0,-0.3056295606220374,1.0922185414177725,5.837363031506538,421.92193865038286,1
114.0,1000.0,-0.38543724889750597,1.0729541418122188,5.837363031506538,412.77504499058676,1
114.0,1000.0,-0.31798075036203954,1.1271493619386348,5.837363031506538,415.79102651317993,1
114.0,1000.0,-0.37878660899295935,1.0766608087133251,5.837363031506538,413.9308265590917,1
114.0,1000.0,-0.3198809428198729,1.1146963000668695,6.810256746411323,393.162628060788,1
114.0,1000.0,-0.30657965431455525,1.112728364933517,5.837363031506538,412.49923283784204,1
114.0,1000.0,-0.4272412771591917,1.1083899895415608,5.837363031506538,437.0548657118499,1
114.0,1000.0,-0.3369825843547005,1.1367919649138651,6.810256746411323,420.7981632650321,1
114.0,1000.0,-0.41489008814387485,1.0408906440854648,5.837363031506538,408.98216813181506,1
114.0,1000.0,-0.42629118636541535,1.0612377832339481,4.8644693166017525,424.85661618795467,1
114.0,1000.0,-0.3702357817033771,1.0350522221461806,5.837363031506538,431.75290997953124,1
114.0,1000.0,-0.4291414565726882,1.038355717421262,4.8644693166017525,412.2969979588219,1
114.0,1000.0,-0.3293818489459227,1.0890548228331907,6.810257117450237,445.4145304593179,1
114.0,1000.0,-0.41393999735009857,1.1102013697008781,5.837363031506538,458.4067176625136,1
114.0,1000.0,-0.3132302913203603,1.063639236092929,5.837363031506538,387.71225018384393,1
114.0,1000.0,-0.3626350539037958,1.0708656948046127,5.837363031506538,421.7231667279744,1
114.0,1000.0,-0.35123395640694066,1.099887611042715,5.837363031506538,471.43442787761387,1
114.0,1000.0,-0.28567763728497086,1.0561321823562009,5.837363031506538,392.20851152921733,1
114.0,1000.0,-0.3987385265325429,1.0443472372016704,5.837363031506538,400.3164902353118,1
114.0,1000.0,-0.3227312137518311,1.1232380621107387,5.837363031506538,435.28488621238915,1
114.0,1000.0,-0.33413231197337157,1.1234630573987754,5.837363031506538,449.2505413374444,1
114.0,1000.0,-0.3350824005930917,1.0480637960625343,5.837363031506538,406.0021811509969,1
114.0,1000.0,-0.3065796535898698,1.031692228028627,5.837363031506538,419.17583844263174,1
114.0,1000.0,-0.4129898985847831,1.0455838097277246,4.864468574523926,412.1404210735762,1
114.0,1000.0,-0.30847983300336634,1.0162760010887892,5.837363031506538,412.33892611325916,1
114.0,1000.0,-0.36738551004673353,1.0534690105577842,5.837363031506538,397.1705367493359,1
114.0,1000.0,-0.35978478224715216,1.0818430813185667,5.837363031506538,433.5854928738401,1
114.0,1000.0,-0.3626350539037958,1.0811741071237617,5.837363031506538,361.08877085775225,1
114.0,1000.0,-0.41964054863492495,1.0977188410181458,5.837363031506538,410.20734789410807,1
114.0,1000.0,-0.30847983445273713,1.0529067576105955,5.837363031506538,425.049663393248,1
114.0,1000.0,-0.3892376207688358,1.1106419748826435,5.837363031506538,410.48925195090237,1
114.0,1000.0,-0.3445833157777088,1.1066437621756957,5.837363031506538,445.94961279903185,1
114.0,1000.0,-0.3607348730409285,1.1150043699705323,5.837363031506538,422.6693072398402,1
114.0,1000.0,-0.39398807473771735,1.0532942025736713,5.837363031506538,400.58475276728666,1
114.0,1000.0,-0.3151304729079129,1.0309014000269503,5.837363031506538,407.6473166775247,1
114.0,1000.0,-0.44339282934961377,1.012146284014793,4.8644693166017525,411.567309978258,1
114.0,1000.0,-0.3493337668478489,1.0170719720513366,4.864468574523926,419.64411871113174,1
114.0,1000.0,-0.41489008814387496,1.059375066609685,5.837363031506538,405.50870912970936,1
114.0,1000.0,-0.36928569090960084,1.0373742146323865,5.837363031506538,402.044574913088,1
114.0,1000.0,-0.2742765434115427,1.0787581273782798,5.837363031506538,407.6739036213851,1
114.0,1000.0,-0.4566941214783583,1.1033794817624047,5.837363031506538,404.7932198423873,1
114.0,1000.0,-0.3217811193346279,1.1062848022248064,5.837363031506538,416.0165416535351,1
114.0,1000.0,-0.403488992821076,1.1052562329616655,5.837363031506538,444.6721728947001,1
114.0,1000.0,-0.39493816118338143,1.0188312983210626,5.837363031506538,421.3692191187058,1
114.0,1000.0,-0.3436332220851909,1.0426292494650482,5.837363031506538,401.2548515123218,1
114.0,1000.0,-0.4395924683485646,1.0521829450396731,5.837363031506538,437.1392703146162,1
114.0,1000.0,-0.31038002038840207,1.064186918459528,5.837363031506538,411.972702730926,1
114.0,1000.0,-0.39968862674722916,1.086312829190806,5.837363031506538,433.50050185174376,1
114.0,1000.0,-0.35313413582043723,1.0057983195076894,4.8644693166017525,401.1024388513759,1
114.0,1000.0,-0.3521840479254024,1.0442016010808162,5.837363031506538,423.8812809152822,1
114.0,1000.0,-0.4357921001006616,1.0368659285290998,5.837363031506538,383.13323461729095,1
114.0,1000.0,-0.355984409651137,1.0579664802577833,5.837363031506538,418.65508819633135,1
114.0,1000.0,-0.4633447584841633,1.0959230740484143,5.837363031506538,396.3338734926742,1
114.0,1000.0,-0.3683355986664537,1.0529414742930083,5.837363031506538,395.95155171992997,1
114.0,1000.0,-0.3654853277344955,1.06672179750331,5.837363031506538,398.3869289479659,1
114.0,1000.0,-0.4405425598670263,1.0550996428580146,5.837363031506538,426.4131466146004,1
114.0,1000.0,-0.36738551222078963,1.0402244115881802,5.837363031506538,400.72317557643566,1
114.0,1000.0,-0.5194001530006063,1.022665299538561,5.837363031506538,407.4762531518591,1
114.0,1000.0,-0.4671451202098979,1.0486807153256896,4.8644693166017525,417.3670652172033,1
